GmLine v3.0(Contour)
8	500
15520635.945153	4526232.321900	-1
15523392.343959	4521270.804048	-1
15532075.000199	4514104.167152	-1
15534004.479364	4511347.768345	-1
15535658.318647	4507626.629957	-1
15535933.958528	4501976.012404	-1
15534555.759125	4497290.134433	-1
15533591.019543	4492328.616582	-1
15532626.279960	4488056.198432	-1
15531937.180259	4482819.040700	-1
15533591.019543	4475652.403803	-1
15539792.916857	4471793.445474	-1
15542687.135604	4468899.226727	-1
15544892.254649	4466556.287742	-1
15548337.753157	4463799.888936	-1
15551645.431724	4460905.670189	-1
15554677.470411	4457735.811562	-1
15555917.849874	4454565.952934	-1
15556193.489755	4449880.074964	-1
15555504.390053	4445607.656814	-1
15553988.370710	4442437.798186	-1
15552334.531426	4439543.579440	-1
15550129.412381	4436649.360693	-1
15548062.113276	4433203.862185	-1
15544616.614768	4431687.842842	-1
15541584.576081	4427828.884513	-1
15538965.997215	4426312.865169	-1
15535796.138588	4423969.926184	-1
15533453.199602	4422591.726781	-1
15530558.980856	4421213.527377	-1
15526700.022527	4419835.327974	-1
15523530.163899	4418732.768452	-1
15520360.305272	4417768.028870	-1
15517466.086525	4416665.469347	-1
15514020.588018	4415425.089884	-1
15511402.009151	4413082.150899	-1
15509610.349927	4408809.732749	-1
15510437.269569	4398059.777404	-1
15509472.529987	4396405.938120	-1
15507680.870763	4395441.198538	-1
15505613.571658	4394614.278896	-1
15503270.632673	4392546.979791	-1
15501341.153508	4391720.060149	-1
15497757.835060	4390204.040806	-1
15495552.716015	4389239.301224	-1
15494312.336552	4386758.542298	-1
15495001.436254	4383175.223850	-1
15496793.095478	4381245.744685	-1
15499825.134165	4379040.625640	-1
15502581.532971	4377386.786356	-1
15505062.291897	4373941.287848	-1
15506302.671360	4370495.789340	-1
15505200.111837	4369117.589937	-1
15500927.693687	4368015.030415	-1
15498309.114821	4368015.030415	-1
15494863.616313	4368152.850355	-1
15491693.757686	4368290.670295	-1
15487283.519596	4368290.670295	-1
15482597.641625	4368290.670295	-1
15480392.522580	4367325.930713	-1
15478600.863356	4366223.371191	-1
15476809.204132	4364569.531907	-1
15475431.004728	4363742.612265	-1
15472950.245803	4362915.692623	-1
